title,url,year,authors,venue,type,access,key,ee
ScanAT: Identification of Bytecode-Only Smart Contracts With Multiple Attribute Tags.,https://dblp.org/rec/journals/access/KimPL19,2019,"['Yuntae Kim', 'Dohyun Pak', 'JongHyup Lee']",IEEE Access,Journal Articles,open,journals/access/KimPL19,https://doi.org/10.1109/ACCESS.2019.2927003
A Survey on Security Verification of Blockchain Smart Contracts.,https://dblp.org/rec/journals/access/LiuL19c,2019,"['Jing Liu 0003', 'Zhen-Tian Liu']",IEEE Access,Journal Articles,open,journals/access/LiuL19c,https://doi.org/10.1109/ACCESS.2019.2921624
Electric Vehicle Power Trading Mechanism Based on Blockchain and Smart Contract in V2G Network.,https://dblp.org/rec/journals/access/LiuZZL19a,2019,"['Haiqing Liu', 'Yan Zhang', 'Shiqiang Zheng', 'Yuancheng Li']",IEEE Access,Journal Articles,open,journals/access/LiuZZL19a,https://doi.org/10.1109/ACCESS.2019.2951057
Visual and User-Defined Smart Contract Designing System Based on Automatic Coding.,https://dblp.org/rec/journals/access/MaoWWH19,2019,"['Dianhui Mao', 'Fan Wang 0012', 'Yalei Wang', 'Zhihao Hao']",IEEE Access,Journal Articles,open,journals/access/MaoWWH19,https://doi.org/10.1109/ACCESS.2019.2920776
A Massive Analysis of Ethereum Smart Contracts Empirical Study and Code Metrics.,https://dblp.org/rec/journals/access/PinnaIBTM19,2019,"['Andrea Pinna 0002', 'Simona Ibba', 'Gavina Baralla', 'Roberto Tonelli', 'Michele Marchesi']",IEEE Access,Journal Articles,open,journals/access/PinnaIBTM19,https://doi.org/10.1109/ACCESS.2019.2921936
"Security, Performance, and Applications of Smart Contracts: A Systematic Survey.",https://dblp.org/rec/journals/access/RouhaniD19,2019,"['Sara Rouhani', 'Ralph Deters']",IEEE Access,Journal Articles,open,journals/access/RouhaniD19,https://doi.org/10.1109/ACCESS.2019.2911031
Decentralized Construction of Knowledge Graphs for Deep Recommender Systems Based on Blockchain-Powered Smart Contracts.,https://dblp.org/rec/journals/access/WangHLYW19,2019,"['Shuai Wang 0005', 'Chenchen Huang', 'Juanjuan Li', 'Yong Yuan', 'Fei-Yue Wang 0001']",IEEE Access,Journal Articles,open,journals/access/WangHLYW19,https://doi.org/10.1109/ACCESS.2019.2942338
Smart Contract-Based Product Traceability System in the Supply Chain Scenario.,https://dblp.org/rec/journals/access/WangLZC19,2019,"['Shangping Wang', 'Dongyi Li', 'Yaling Zhang', 'Juanjuan Chen']",IEEE Access,Journal Articles,open,journals/access/WangLZC19,https://doi.org/10.1109/ACCESS.2019.2935873
Auditable Protocols for Fair Payment and Physical Asset Delivery Based on Smart Contracts.,https://dblp.org/rec/journals/access/WangTZC19,2019,"['Shangping Wang', 'Xixi Tang', 'Yaling Zhang', 'Juanjuan Chen']",IEEE Access,Journal Articles,open,journals/access/WangTZC19,https://doi.org/10.1109/ACCESS.2019.2933860
Smart Contract Based Data Trading Mode Using Blockchain and Machine Learning.,https://dblp.org/rec/journals/access/XiongX19,2019,"['Wei Xiong', 'Li Xiong 0002']",IEEE Access,Journal Articles,open,journals/access/XiongX19,https://doi.org/10.1109/ACCESS.2019.2928325
FEther: An Extensible Definitional Interpreter for Smart-Contract Verifications in Coq.,https://dblp.org/rec/journals/access/YangL19,2019,"['Zheng Yang 0007', 'Hang Lei']",IEEE Access,Journal Articles,open,journals/access/YangL19,https://doi.org/10.1109/ACCESS.2019.2905428
Smart Contract-Based Secure Model for Miner Registration and Block Validation.,https://dblp.org/rec/journals/access/ZhangL19m,2019,"['Shijie Zhang', 'Jong-Hyouk Lee']",IEEE Access,Journal Articles,open,journals/access/ZhangL19m,https://doi.org/10.1109/ACCESS.2019.2940551
The limit of blockchains: infeasibility of a smart Obama-Trump contract.,https://dblp.org/rec/journals/cacm/WangM19,2019,"['Yongge Wang', 'Qutaibah M. Malluhi']",Commun. ACM,Journal Articles,closed,journals/cacm/WangM19,https://doi.org/10.1145/3274276
Smart contract-based approach for efficient shipment management.,https://dblp.org/rec/journals/candie/HasanAASJ19,2019,"['Haya R. Hasan', 'Esra Alhadhrami', 'Alia AlDhaheri', 'Khaled Salah 0001', 'Raja Jayaraman']",Comput. Ind. Eng.,Journal Articles,closed,journals/candie/HasanAASJ19,https://doi.org/10.1016/j.cie.2019.07.022
Blockchain-Enabled Smart Contracts for Enhancing Distributor-to-Consumer Transactions.,https://dblp.org/rec/journals/cem/WangLM19,2019,"['Qiping Wang 0002', 'Raymond Yiu-Keung Lau', 'Xudong Mao']",IEEE Consumer Electron. Mag.,Journal Articles,closed,journals/cem/WangLM19,https://doi.org/10.1109/MCE.2019.2941346
Creating markets in no-trust environments: The law and economics of smart contracts.,https://dblp.org/rec/journals/clsr/Eenmaa-Dimitrieva19,2019,"['Helen Eenmaa-Dimitrieva', 'Maria José Schmidt-Kessen']",Comput. Law Secur. Rev.,Journal Articles,closed,journals/clsr/Eenmaa-Dimitrieva19,https://doi.org/10.1016/j.clsr.2018.09.003
All watched over by machines of loving grace: A critical look at smart contracts.,https://dblp.org/rec/journals/clsr/Guadamuz19,2019,[],Comput. Law Secur. Rev.,Journal Articles,closed,journals/clsr/Guadamuz19,https://doi.org/10.1016/j.clsr.2019.105338
Herausforderungen und Lösungsansätze bei der Gestaltung von Blockchain-basierten Smart Contracts.,https://dblp.org/rec/journals/cr/Lupu19,2019,[],Comput. und Recht,Journal Articles,closed,journals/cr/Lupu19,https://doi.org/10.9785/cr-2019-351006
Optimal contract pricing of load aggregators for direct load control in smart distribution systems.,https://dblp.org/rec/journals/elektrik/Shayegan-RadZ19,2019,"['Ali Shayegan-Rad', 'Ali Zangeneh']",Turkish J. Electr. Eng. Comput. Sci.,Journal Articles,open,journals/elektrik/Shayegan-RadZ19,https://doi.org/10.3906/elk-1804-150
Blockchain for Environmental Governance: Can Smart Contracts Reinforce Payments for Ecosystem Services in Namibia?,https://dblp.org/rec/journals/fbloc/Oberhauser19,2019,[],Frontiers Blockchain,Journal Articles,open,journals/fbloc/Oberhauser19,https://doi.org/10.3389/fbloc.2019.00021
Elastic and cost-effective data carrier architecture for smart contract in blockchain.,https://dblp.org/rec/journals/fgcs/LiuMLCY19,2019,"['Xiaolong Liu 0001', 'Khan Muhammad 0001', 'Jaime Lloret 0001', 'Yu-Wen Chen', 'Shyan-Ming Yuan']",Future Gener. Comput. Syst.,Journal Articles,closed,journals/fgcs/LiuMLCY19,https://doi.org/10.1016/j.future.2019.05.042
LoC - A new financial loan management system based on smart contracts.,https://dblp.org/rec/journals/fgcs/WangGC19,2019,"['Hao Wang 0003', 'Chaonian Guo', 'Shuhan Cheng']",Future Gener. Comput. Syst.,Journal Articles,closed,journals/fgcs/WangGC19,https://doi.org/10.1016/j.future.2019.05.040
Automatic smart contract generation using controlled natural language and template.,https://dblp.org/rec/journals/ibmrd/TateishiYSS19,2019,"['Takaaki Tateishi', 'Sachiko Yoshihama', 'Naoto Sato', 'Shin Saito']",IBM J. Res. Dev.,Journal Articles,closed,journals/ibmrd/TateishiYSS19,https://doi.org/10.1147/JRD.2019.2900643
Monetization of IoT data using smart contracts.,https://dblp.org/rec/journals/iet-net/SulimanHAAS19,2019,"['Ahmed Suliman', 'Zainab Husain', 'Menatalla Abououf', 'Mansoor Alblooshi', 'Khaled Salah 0001']",IET Networks,Journal Articles,closed,journals/iet-net/SulimanHAAS19,https://doi.org/10.1049/iet-net.2018.5026
"EverSSDI: blockchain-based framework for verification, authorisation and recovery of self-sovereign identity using smart contracts.",https://dblp.org/rec/journals/ijcat/ZhouLZ19,2019,"['Tong Zhou', 'Xiaofeng Li', 'He Zhao 0011']",Int. J. Comput. Appl. Technol.,Journal Articles,closed,journals/ijcat/ZhouLZ19,https://doi.org/10.1504/IJCAT.2019.10022102
A Study of Use Cases for Smart Contracts Using Blockchain Technology.,https://dblp.org/rec/journals/ijissc/SekharSKA19,2019,"['S. R. Mani Sekhar', 'G. M. Siddesh', 'Swapnil Kalra', 'Shaswat Anand']",Int. J. Inf. Syst. Soc. Chang.,Journal Articles,closed,journals/ijissc/SekharSKA19,https://doi.org/10.4018/IJISSC.2019040102
"Electronic bills of lading, blockchains and smart contracts.",https://dblp.org/rec/journals/ijlit/Todd19,2019,[],Int. J. Law Inf. Technol.,Journal Articles,closed,journals/ijlit/Todd19,https://doi.org/10.1093/ijlit/eaaa002
"Defects and Vulnerabilities in Smart Contracts, a Classification using the NIST Bugs Framework.",https://dblp.org/rec/journals/ijndc/DingmanCFLJBD19,2019,"['Wesley Dingman', 'Aviel Cohen', 'Nick Ferrara', 'Adam Lynch', 'Patrick Jasinski', 'Paul E. Black', 'Lin Deng']",Int. J. Networked Distributed Comput.,Journal Articles,open,journals/ijndc/DingmanCFLJBD19,https://doi.org/10.2991/ijndc.k.190710.003
Blockchain and smart contracts for higher education registry in Brazil.,https://dblp.org/rec/journals/ijnm/PalmaVPM19,2019,"['Lucas M. Palma', 'Martín A. Gagliotti Vigil', 'Fernando Lauro Pereira', 'Jean Everson Martina']",Int. J. Netw. Manag.,Journal Articles,closed,journals/ijnm/PalmaVPM19,https://doi.org/10.1002/nem.2061
Multi-party Fair Exchange Protocol with Smart Contract on Bitcoin.,https://dblp.org/rec/journals/ijnsec/GuoLG19,2019,"['Lijuan Guo', 'Xuelian Li', 'Juntao Gao']",Int. J. Netw. Secur.,Journal Articles,open,journals/ijnsec/GuoLG19,http://ijns.jalaxy.com.tw/contents/ijns-v21-n1/ijns-2019-v21-n1-p71-82.pdf
Properties modelling as design by contract for cyber-physical systems: an example in the smart grid domain.,https://dblp.org/rec/journals/ijspm/TundisM19,2019,"['Andrea Tundis', 'Max Mühlhäuser']",Int. J. Simul. Process. Model.,Journal Articles,closed,journals/ijspm/TundisM19,https://doi.org/10.1504/IJSPM.2019.099903
IGR Token-Raw Material and Ingredient Certification of Recipe Based Foods Using Smart Contracts.,https://dblp.org/rec/journals/informatics/SantosTYP19,2019,"['Ricardo Borges dos Santos', 'Nunzio Marco Torrisi', 'Erick Reyann Kasai Yamada', 'Rodrigo Palucci Pantoni']",Informatics,Journal Articles,open,journals/informatics/SantosTYP19,https://doi.org/10.3390/informatics6010011
A Service-Oriented Perspective on Blockchain Smart Contracts.,https://dblp.org/rec/journals/internet/DanielG19,2019,"['Florian Daniel', 'Luca Guida']",IEEE Internet Comput.,Journal Articles,closed,journals/internet/DanielG19,https://doi.org/10.1109/MIC.2018.2890624
EdgeChain: An Edge-IoT Framework and Prototype Based on Blockchain and Smart Contracts.,https://dblp.org/rec/journals/iotj/PanWHALZ19,2019,"['Jianli Pan', 'Jianyu Wang', 'Austin Hester', 'Ismail AlQerm', 'Yuanni Liu', 'Ying Zhao']",IEEE Internet Things J.,Journal Articles,closed,journals/iotj/PanWHALZ19,https://doi.org/10.1109/JIOT.2018.2878154
Smart Contract-Based Access Control for the Internet of Things.,https://dblp.org/rec/journals/iotj/ZhangKSJW19,2019,"['Yuanyu Zhang', 'Shoji Kasahara', 'Yulong Shen', 'Xiaohong Jiang 0001', 'Jianxiong Wan']",IEEE Internet Things J.,Journal Articles,closed,journals/iotj/ZhangKSJW19,https://doi.org/10.1109/JIOT.2018.2847705
Randomness invalidates criminal smart contracts.,https://dblp.org/rec/journals/isci/WangBLLCZ19,2019,"['Yilei Wang', 'Andrea Bracciali', 'Tao Li', 'Fengyin Li', 'Xinchun Cui', 'Minghao Zhao 0001']",Inf. Sci.,Journal Articles,closed,journals/isci/WangBLLCZ19,https://doi.org/10.1016/j.ins.2018.10.057
